Agency,Location,PrimaryBias,OffenseType,Year
BRANSON,"Branson, MO", Anti-Gay (Male) ,Aggravated Assault,2011
BRECKENRIDGE HILLS,"Breckenridge Hills, MO", Anti-Gay (Male) ,Simple Assault,2011
COLUMBIA,"Columbia, MO", Anti-Gay (Male) ,Destruction/ Damage/Vandalism,2011
COLUMBIA,"Columbia, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2011
COLUMBIA,"Columbia, MO",Anti-Asian,Intimidation,2011
COLUMBIA,"Columbia, MO", Anti-Jewish,Destruction/ Damage/Vandalism,2011
COLUMBIA,"Columbia, MO", Anti-Gay (Male) ,Simple Assault,2011
COLUMBIA,"Columbia, MO", Anti-Hispanic or Latino,Destruction/ Damage/Vandalism,2011
CONCORDIA,"Concordia, MO",Anti-Black or African American,Burglary,2011
DES PERES,"Des Peres, MO", Anti-Hispanic or Latino,Aggravated Assault,2011
EXCELSIOR SPRINGS,"Excelsior Springs, MO",Anti-Black or African American,Aggravated Assault,2011
GLADSTONE,"Gladstone, MO",Anti-American Indian or Alaskan Native,Simple Assault,2011
GLADSTONE,"Gladstone, MO",Anti-Black or African American,Simple Assault,2011
GOWER,"Gower, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Simple Assault,2011
GRANDVIEW,"Grandview, MO",Anti-Black or African American,Simple Assault,2011
INDEPENDENCE,"Independence, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Simple Assault,2011
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Destruction/ Damage/Vandalism,2011
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Simple Assault,2011
INDEPENDENCE,"Independence, MO",Anti-White,Intimidation,2011
INDEPENDENCE,"Independence, MO"," Anti-Lesbian, Gay, Bisexual, or Transgender (mixed group)",Intimidation,2011
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Aggravated Assault,2011
INDEPENDENCE,"Independence, MO",Anti-Black or African American,Intimidation,2011
